Group,Type,Sample,Source,CPM,UNK
K,Mouse,Organ,Spleen,102,187.05
K,Mouse,Organ,Spleen,46,155.9
K,Mouse,Organ,Spleen,53,178.22
K,Mouse,Organ,Spleen,30,49.31
L,Mouse,Organ,Spleen,0,0
L,Mouse,Organ,Spleen,24,180.36
L,Mouse,Organ,Spleen,48,168.05
L,Mouse,Organ,Spleen,2,0
M,Mouse,Organ,Spleen,6,0
M,Mouse,Organ,Spleen,4,0
M,Mouse,Organ,Spleen,3,0
M,Mouse,Organ,Spleen,0,0
N,Mouse,Organ,Spleen,205,254.72
N,Mouse,Organ,Spleen,416,252.02
N,Mouse,Organ,Spleen,446,243.09
N,Mouse,Organ,Spleen,136,212.72
O,Mouse,Organ,Spleen,56,198.91
O,Mouse,Organ,Spleen,33,163.14
O,Mouse,Organ,Spleen,39,123.27
O,Mouse,Organ,Spleen,35,57.66
K,Mouse,Organ,Liver,895,248.67
K,Mouse,Organ,Liver,1046,245.31
K,Mouse,Organ,Liver,655,244.73
K,Mouse,Organ,Liver,625,256.05
L,Mouse,Organ,Liver,26,96.57
L,Mouse,Organ,Liver,437,241.45
L,Mouse,Organ,Liver,422,243.88
L,Mouse,Organ,Liver,146,220.2
M,Mouse,Organ,Liver,168,214.62
M,Mouse,Organ,Liver,249,233.29
M,Mouse,Organ,Liver,188,213.85
M,Mouse,Organ,Liver,239,236
N,Mouse,Organ,Liver,2831,256.97
N,Mouse,Organ,Liver,2646,268.03
N,Mouse,Organ,Liver,2948,263.5
N,Mouse,Organ,Liver,3662,254.43
O,Mouse,Organ,Liver,14706,257.28
O,Mouse,Organ,Liver,8690,269.46
O,Mouse,Organ,Liver,13803,248.02
O,Mouse,Organ,Liver,15073,262.35
K,Mouse,Organ,ART,1945,176.7
K,Mouse,Organ,ART,3841,170.85
K,Mouse,Organ,ART,1668,193.71
K,Mouse,Organ,ART,1589,200.34
L,Mouse,Organ,ART,85,108.07
L,Mouse,Organ,ART,2332,217.54
L,Mouse,Organ,ART,1569,179.73
L,Mouse,Organ,ART,36,0
M,Mouse,Organ,ART,48,84.62
M,Mouse,Organ,ART,86,126.8
M,Mouse,Organ,ART,99,107.28
M,Mouse,Organ,ART,92,192.97
N,Mouse,Organ,ART,15034,222.59
N,Mouse,Organ,ART,12945,217.25
N,Mouse,Organ,ART,9373,243.47
N,Mouse,Organ,ART,12924,225.77
O,Mouse,Organ,ART,1288,232.97
O,Mouse,Organ,ART,661,164.83
O,Mouse,Organ,ART,1581,221.08
O,Mouse,Organ,ART,1399,234.49
K,Mouse,Organ,Soft,25,270.63
K,Mouse,Organ,Soft,31,103.83
K,Mouse,Organ,Soft,27,178.29
K,Mouse,Organ,Soft,28,319.3
L,Mouse,Organ,Soft,7,183.66
L,Mouse,Organ,Soft,16,170.05
L,Mouse,Organ,Soft,28,214.26
L,Mouse,Organ,Soft,81,257.22
M,Mouse,Organ,Soft,14,248.98
M,Mouse,Organ,Soft,10,48.5
M,Mouse,Organ,Soft,14,177.25
M,Mouse,Organ,Soft,15,0
N,Mouse,Organ,Soft,139,271.36
N,Mouse,Organ,Soft,210,264.59
N,Mouse,Organ,Soft,141,254.31
N,Mouse,Organ,Soft,143,242.16
O,Mouse,Organ,Soft,91,233.69
O,Mouse,Organ,Soft,44,158.06
O,Mouse,Organ,Soft,79,254.06
O,Mouse,Organ,Soft,66,289.46
K,Mouse,Organ,Skel,32,22.88
K,Mouse,Organ,Skel,27,69.71
K,Mouse,Organ,Skel,26,61.68
K,Mouse,Organ,Skel,22,15.51
L,Mouse,Organ,Skel,1,0
L,Mouse,Organ,Skel,11,0
L,Mouse,Organ,Skel,8,0
L,Mouse,Organ,Skel,25,76.66
M,Mouse,Organ,Skel,308,220.3
M,Mouse,Organ,Skel,343,212.54
M,Mouse,Organ,Skel,336,199.34
M,Mouse,Organ,Skel,338,198.73
N,Mouse,Organ,Skel,97,168.99
N,Mouse,Organ,Skel,114,173.61
N,Mouse,Organ,Skel,110,177.48
N,Mouse,Organ,Skel,114,164.91
O,Mouse,Organ,Skel,445,194.76
O,Mouse,Organ,Skel,281,171.5
O,Mouse,Organ,Skel,512,199.55
O,Mouse,Organ,Skel,414,206.93
