Group,Type,Sample,Source,CPM,UNK
F,Excreta,Urine,Day1,232,671.64
G,Excreta,Urine,Day1,253,634.54
H,Excreta,Urine,Day1,323,654.78
I,Excreta,Urine,Day1,1045,676.07
J,Excreta,Urine,Day1,390,669.33
K,Excreta,Urine,Day1,19,565.29
L,Excreta,Urine,Day1,49,609.42
M,Excreta,Urine,Day1,5852,632.43
N,Excreta,Urine,Day1,72,441.7
O,Excreta,Urine,Day1,208,659.19
A,Excreta,Urine,Day2,21,52.17
B,Excreta,Urine,Day2,28,426.68
C,Excreta,Urine,Day2,24,268.12
D,Excreta,Urine,Day2,18,487.34
E,Excreta,Urine,Day2,19,185.3
F,Excreta,Urine,Day2,21,179.56
G,Excreta,Urine,Day2,17,661.57
H,Excreta,Urine,Day2,33,332.88
I,Excreta,Urine,Day2,31,637.72
J,Excreta,Urine,Day2,28,647.16
K,Excreta,Urine,Day2,7,0
L,Excreta,Urine,Day2,18,306.33
M,Excreta,Urine,Day2,34,438
N,Excreta,Urine,Day2,23,508.96
O,Excreta,Urine,Day2,15,348.8
A,Excreta,Feces,Day1,105,374.24
B,Excreta,Feces,Day1,154,437.03
C,Excreta,Feces,Day1,107,391.86
D,Excreta,Feces,Day1,887,491.48
E,Excreta,Feces,Day1,116,317.1
F,Excreta,Feces,Day1,47,349.5
G,Excreta,Feces,Day1,82,358.65
H,Excreta,Feces,Day1,51,331.65
I,Excreta,Feces,Day1,131,418.8
J,Excreta,Feces,Day1,70,295.8
K,Excreta,Feces,Day1,5,0
L,Excreta,Feces,Day1,211,482.91
M,Excreta,Feces,Day1,170,459.71
N,Excreta,Feces,Day1,171,442.62
O,Excreta,Feces,Day1,735,521.04
A,Excreta,Feces,Day2,15,0
B,Excreta,Feces,Day2,9,0
C,Excreta,Feces,Day2,203,463.37
D,Excreta,Feces,Day2,93,374.04
E,Excreta,Feces,Day2,168,439.78
F,Excreta,Feces,Day2,80,424.69
G,Excreta,Feces,Day2,148,483.88
H,Excreta,Feces,Day2,72,377.8
I,Excreta,Feces,Day2,171,398.23
J,Excreta,Feces,Day2,99,370.13
K,Excreta,Feces,Day2,6,0
L,Excreta,Feces,Day2,9,0
M,Excreta,Feces,Day2,23,178.49
N,Excreta,Feces,Day2,16,0
O,Excreta,Feces,Day2,106,384.34
Background,Background,Background,Background,25,700.43
A,Mouse,Organ,Thymus,22,32.64
A,Mouse,Organ,Thymus,5,0
A,Mouse,Organ,Thymus,6,0
A,Mouse,Organ,Thymus,11,0
B,Mouse,Organ,Thymus,0,0
B,Mouse,Organ,Thymus,0,0
B,Mouse,Organ,Thymus,0,0
